Lden	Location	ProzHA	N	listedBy	Region
70	Inntal Mainroad	66.0270525389191	1641	G	Europe
70	Inntal Highway	55.1442328400257	1641	G	Europe
70	Switzerland 2019	30.5	5592	F	Europe
70	Montreal 2015	15	4336	F	America
70	Denmark Motorway 2016	61.895144013621	3446	F	Europe
70	Denmark Urban 2016	24.2320360996295	3315	F	Europe
70	Tunisia 2020	43	1272	F	Africa
70	India 2021	75.923930324755	565	F	Asia
70	Fiinland 2021	12.1510527023518	6754	F	Europe
70	Japan JPN011RT2000	48	1601	F	Asia
70	Japan JPN016RT2003	54	272	F	Asia
70	Japan JPN021RT2004	40	1358	F	Asia
70	Japan STM104RT2011	35	189	F	Asia
70.4847	Swiss	26.8342177742309	2386	G	Europe
70.4847	Gothenbg detached	49.6161225427884	436	G	Europe
70.4847	Gothenbg apartment	20.4418635110839	706	G	Europe
70.4847	Kumamoto detached	31.6594632506083	378	G	Asia
70.4847	Kumamoto apartment	26.1012134899635	469	G	Asia
70.4847	Sapporo detached	25.1261925343347	411	G	Asia
72.6	France	20.4240302284092	701	G	Europe
72.6	Equador 2022	27.972	225	F	America
75	Heathrow	52.6895	600	G	Europe
75	Berlin	49.9692	972	G	Europe
75	Amsterd	22.1996	898	G	Europe
75	Stockholm	46.3406999999999	1003	G	Europe
75	Athen	20.0342	635	G	Europe
75	Malpensa	56.0517	753	G	Europe
75	DaNang	19.7178972994074	492	G	Asia
75	Hanoi	37.0495255827439	1502	G	Asia
75	Hong Kong	26.3975	10077	G	Asia
75	Hue	10.3640814009644	688	G	Asia
75	Thai-Nguyen	24.3364741601844	813	G	Asia
75	Muang Phuket 2017	25	126	F	Asia
75	Montreal 2015	24	4336	F	America
75	Denmark Motorway 2016	77.2081147090508	3446	F	Europe
75	Denmark Urban 2016	36.1236824851158	3315	F	Europe
75	Tunisia 2020	70.5	1272	F	Africa
75	India 2021	78.5036100406354	565	F	Asia
75	Japan JPN011RT2000	54	1601	F	Asia
75	Japan JPN021RT2004	43	1358	F	Asia
75.4847	Swiss	36.2957644470762	2386	G	Europe
75.4847	Gothenbg detached	71.2971001959607	436	G	Europe
75.4847	Gothenbg apartment	34.4019831978642	706	G	Europe
77.6	France	28.6999837247718	701	G	Europe
77.6	Thalang 2017	10	103	F	Asia
77.6	Equador 2022	53.5719999999999	225	F	America
80	Heathrow	70.0715	600	G	Europe
80	Berlin	70.1777	972	G	Europe
80	Amsterd	27.5851	898	G	Europe
80	Stockholm	64.9352	1003	G	Europe
80	Athen	27.3262	635	G	Europe
80	Malpensa	72.8047000000001	753	G	Europe
80	Hanoi	52.9670648924948	1502	G	Asia
80	Ho Ch iMinh	32.0501079585374	1463	G	Asia
80	Hong Kong	35.92	10077	G	Asia
80	Kathu 2017	42	24	F	Asia
80.4847	Gothenbg apartment	51.7003590629585	706	G	Europe
82.6	France	38.6985823860664	701	G	Europe
85	Heathrow	90.3985	600	G	Europe
85	Berlin	94.0312	972	G	Europe
85	Amsterd	33.5806	898	G	Europe
85	Stockholm	86.8047	1003	G	Europe
85	Athen	35.9282	635	G	Europe
85	Malpensa	91.9677	753	G	Europe
